[2026-01-09 00:47:18.424] [info]  DiscordSplash.signalReady
[2026-01-09 00:47:18.498] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-01-09 00:47:18.498] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-01-09 00:47:18.502] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-01-09 00:47:18.502] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-01-09 00:47:18.503] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-01-09 00:47:18.503] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-01-09 00:47:18.503] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-01-09 00:47:18.503] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-01-09 00:47:18.504] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-01-09 00:47:18.504] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-01-09 00:47:18.504] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-01-09 00:47:18.504] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-01-09 00:47:18.505] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-01-09 00:47:18.505] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-01-09 00:47:19.425] [info]  Splash.updateCountdownSeconds: undefined
[2026-01-09 00:47:19.425] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-01-09 00:47:19.425] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-01-09 00:47:19.991] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-01-09 00:47:19.991] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-01-09 00:47:20.038] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-01-09 00:47:20.038] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-01-09 00:47:20.114] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-01-09 00:47:20.115] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-01-09 00:47:20.116] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-01-09 00:47:20.117] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-01-09 00:47:20.130] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-01-09 00:47:20.131] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-01-09 00:47:20.146] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-01-09 00:47:20.147] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-01-09 00:47:20.218] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-01-09 00:47:20.219] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-01-09 00:47:20.231] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-01-09 00:47:20.231] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-01-09 00:47:20.240] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-01-09 00:47:20.241] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-01-09 00:47:20.336] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-01-09 00:47:20.337] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-01-09 00:47:20.356] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-01-09 00:47:20.356] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-01-09 00:47:20.397] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-01-09 00:47:20.397] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-01-09 00:47:20.400] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-01-09 00:47:20.400] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-01-09 00:47:20.424] [info]  Splash.updateCountdownSeconds: undefined
[2026-01-09 00:47:20.448] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-01-09 00:47:20.449] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-01-09 00:47:20.498] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-01-09 00:47:20.498] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-01-09 00:47:20.504] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-01-09 00:47:20.504] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-01-09 00:47:20.525] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2026-01-09 00:47:20.526] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2026-01-09 00:47:20.636] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-01-09 00:47:20.636] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-01-09 00:47:20.667] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2026-01-09 00:47:20.667] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2026-01-09 00:47:20.669] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2026-01-09 00:47:20.669] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2026-01-09 00:47:20.676] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2026-01-09 00:47:20.676] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2026-01-09 00:47:20.717] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2026-01-09 00:47:20.718] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2026-01-09 00:47:20.739] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2026-01-09 00:47:20.739] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2026-01-09 00:47:20.763] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2026-01-09 00:47:20.763] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2026-01-09 00:47:20.771] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2026-01-09 00:47:20.772] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2026-01-09 00:47:20.795] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2026-01-09 00:47:20.795] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2026-01-09 00:47:20.834] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-01-09 00:47:20.834] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-01-09 00:47:20.861] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-01-09 00:47:20.861] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-01-09 00:47:20.885] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-01-09 00:47:20.885] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-01-09 00:47:20.904] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2026-01-09 00:47:20.904] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2026-01-09 00:47:20.936] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2026-01-09 00:47:20.936] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2026-01-09 00:47:20.945] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2026-01-09 00:47:20.946] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2026-01-09 00:47:20.962] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2026-01-09 00:47:20.962] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2026-01-09 00:47:20.997] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2026-01-09 00:47:20.998] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2026-01-09 00:47:21.068] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2026-01-09 00:47:21.069] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2026-01-09 00:47:21.085] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2026-01-09 00:47:21.085] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2026-01-09 00:47:21.090] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2026-01-09 00:47:21.091] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2026-01-09 00:47:21.096] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2026-01-09 00:47:21.096] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2026-01-09 00:47:21.122] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2026-01-09 00:47:21.122] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2026-01-09 00:47:21.151] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
